"","Region","Age_lower","Year","Population","Proportion","Data"
"326","Seoul","10",2025,333384,0.0356945852976647,NA
"327","Seoul","15",2025,357546,0.0382815497889486,NA
"328","Seoul","20",2025,551759,0.0590754465998794,NA
"329","Seoul","25",2025,810664,0.0867957529327925,NA
"330","Seoul","30",2025,811466,0.0868816210530644,NA
"331","Seoul","35",2025,654432,0.0700683861418704,NA
"332","Seoul","40",2025,686497,0.0735015049405219,NA
"333","Seoul","45",2025,666440,0.0713540524613529,NA
"334","Seoul","50",2025,755607,0.080900938596371,NA
"335","Seoul","55",2025,717298,0.0767992904423857,NA
"336","Seoul","60",2025,693226,0.0742219620244491,NA
"337","Seoul","65",2025,644253,0.0689785462462997,NA
"338","Seoul","70",2025,461139,0.0493729914140445,NA
"339","Seoul","75",2025,341853,0.0366013397996382,NA
"340","Seoul","80",2025,407869,0.0436695066673062,NA
"341","Busan","0",2025,66828,0.0206352181429848,NA
"342","Busan","5",2025,102928,0.0317822130397608,NA
"343","Busan","10",2025,131641,0.0406482425264957,NA
"344","Busan","15",2025,125315,0.0386948937808723,NA
"345","Busan","20",2025,167682,0.0517770193429696,NA
"346","Busan","25",2025,203936,0.0629715665171446,NA
"347","Busan","30",2025,208004,0.0642276877149309,NA
"348","Busan","35",2025,187300,0.0578346854339655,NA
"349","Busan","40",2025,227683,0.0703041894482732,NA
"350","Busan","45",2025,229945,0.0710026521201986,NA
"351","Busan","50",2025,258379,0.0797825317017756,NA
"352","Busan","55",2025,263275,0.081294323585837,NA
"353","Busan","60",2025,273476,0.0844441987919869,NA
"354","Busan","65",2025,272435,0.0841227577480106,NA
"355","Busan","70",2025,202785,0.0626161595607405,NA
"356","Busan","75",2025,144643,0.0446630133754675,NA
"357","Busan","80",2025,172286,0.0531986471685861,NA
"358","Daegu","0",2025,51722,0.0221551615203884,NA
"359","Daegu","5",2025,81889,0.0350772209454988,NA
"360","Daegu","10",2025,104626,0.0448166337193488,NA
"361","Daegu","15",2025,103219,0.0442139441045005,NA
"362","Daegu","20",2025,124858,0.0534830276693217,NA
"363","Daegu","25",2025,146727,0.0628506319245589,NA
"364","Daegu","30",2025,150738,0.064568747095246,NA
"365","Daegu","35",2025,136872,0.058629234515653,NA
"366","Daegu","40",2025,164088,0.070287230647645,NA
"367","Daegu","45",2025,171979,0.073667347030565,NA
"368","Daegu","50",2025,201915,0.0864904574144316,NA
"369","Daegu","55",2025,205131,0.0878680336769421,NA
"370","Daegu","60",2025,196669,0.0842433289712941,NA
"371","Daegu","65",2025,171486,0.0734561700724127,NA
"372","Daegu","70",2025,122638,0.0525320888313947,NA
"373","Daegu","75",2025,86230,0.0369366918893912,NA
"374","Daegu","80",2025,113748,0.0487240499714076,NA
"375","Incheon","0",2025,77893,0.0254693700848935,NA
"376","Incheon","5",2025,110305,0.0360674112848932,NA
"377","Incheon","10",2025,137210,0.0448647794968514,NA
"378","Incheon","15",2025,134716,0.0440492940361331,NA
"379","Incheon","20",2025,148437,0.0485357719858183,NA
"380","Incheon","25",2025,199766,0.0653192736751549,NA
"381","Incheon","30",2025,231464,0.0756838519164726,NA
"382","Incheon","35",2025,212600,0.0695157213106231,NA
"383","Incheon","40",2025,243675,0.0796765916762281,NA
"384","Incheon","45",2025,236681,0.0773897010137328,NA
"385","Incheon","50",2025,260120,0.0850537602413889,NA
"386","Incheon","55",2025,255808,0.0836438270791528,NA
"387","Incheon","60",2025,254193,0.0831157561011817,NA
"388","Incheon","65",2025,212943,0.0696278750848919,NA
"389","Incheon","70",2025,131762,0.0430833982658999,NA
"390","Incheon","75",2025,92498,0.0302448974119944,NA
"391","Incheon","80",2025,118230,0.0386587193346894,NA
"392","Gwangju","0",2025,35918,0.0248297697311572,NA
"393","Gwangju","5",2025,54049,0.0373635565510138,NA
"394","Gwangju","10",2025,71191,0.0492136571337716,NA
"395","Gwangju","15",2025,72506,0.0501227040516532,NA
"396","Gwangju","20",2025,89494,0.0618663459079063,NA
"397","Gwangju","25",2025,105127,0.0726732892290038,NA
"398","Gwangju","30",2025,99390,0.0687073560214853,NA
"399","Gwangju","35",2025,84846,0.0586532279806715,NA
"400","Gwangju","40",2025,107413,0.0742535791562109,NA
"401","Gwangju","45",2025,113170,0.0782333381723664,NA
"402","Gwangju","50",2025,127456,0.0881091132817631,NA
"403","Gwangju","55",2025,120509,0.0833067186517071,NA
"404","Gwangju","60",2025,105901,0.073208348023255,NA
"405","Gwangju","65",2025,90424,0.062509246009526,NA
"406","Gwangju","70",2025,61249,0.0423408476603275,NA
"407","Gwangju","75",2025,47645,0.0329365326254519,NA
"408","Gwangju","80",2025,60282,0.0416723698127294,NA
"409","Daejeon","0",2025,36524,0.0249307006520726,NA
"410","Daejeon","5",2025,49733,0.0339469536614151,NA
"411","Daejeon","10",2025,65193,0.0444997034172206,NA
"412","Daejeon","15",2025,68412,0.0466969415455478,NA
"413","Daejeon","20",2025,104793,0.0715300326752995,NA
"414","Daejeon","25",2025,118082,0.080600892410416,NA
"415","Daejeon","30",2025,106164,0.0724658554382497,NA
"416","Daejeon","35",2025,89052,0.0607854767952132,NA
"417","Daejeon","40",2025,102402,0.0698979741587322,NA
"418","Daejeon","45",2025,106539,0.0727218244653148,NA
"419","Daejeon","50",2025,122537,0.0836418044519498,NA
"420","Daejeon","55",2025,117552,0.0802391228521639,NA
"421","Daejeon","60",2025,109731,0.0749006328236933,NA
"422","Daejeon","65",2025,96502,0.0658707281329073,NA
"423","Daejeon","70",2025,65331,0.0445939000191806,NA
"424","Daejeon","75",2025,45598,0.0311244685229768,NA
"425","Daejeon","80",2025,60876,0.0415529879776467,NA
"426","Ulsan","0",2025,26908,0.0245922689905087,NA
"427","Ulsan","5",2025,42239,0.038603866875654,NA
"428","Ulsan","10",2025,55482,0.0507071602546234,NA
"429","Ulsan","15",2025,52504,0.0479854500920794,NA
"430","Ulsan","20",2025,44968,0.041098006242203,NA
"431","Ulsan","25",2025,64647,0.0590834106373353,NA
"432","Ulsan","30",2025,72887,0.0666142675007883,NA
"433","Ulsan","35",2025,68929,0.0629968971772996,NA
"434","Ulsan","40",2025,85453,0.078098824217554,NA
"435","Ulsan","45",2025,86677,0.0792174854797951,NA
"436","Ulsan","50",2025,97200,0.0888348649426732,NA
"437","Ulsan","55",2025,103887,0.0949463746327108,NA
"438","Ulsan","60",2025,97334,0.0889573327605983,NA
"439","Ulsan","65",2025,79401,0.072567665754251,NA
"440","Ulsan","70",2025,50684,0.0463220812217536,NA
"441","Ulsan","75",2025,30887,0.028228832031732,NA
"442","Ulsan","80",2025,34078,0.0311452111884405,NA
"443","Sejong","0",2025,16042,0.0403439369666852,NA
"444","Sejong","5",2025,24056,0.0604983011887906,NA
"445","Sejong","10",2025,28290,0.0711463643428204,NA
"446","Sejong","15",2025,24171,0.0607875140519728,NA
"447","Sejong","20",2025,20739,0.0521563962568311,NA
"448","Sejong","25",2025,23149,0.0582172919113449,NA
"449","Sejong","30",2025,28337,0.0712645643825557,NA
"450","Sejong","35",2025,31649,0.079593894842203,NA
"451","Sejong","40",2025,39222,0.0986391906063662,NA
"452","Sejong","45",2025,36969,0.0929731333824576,NA
"453","Sejong","50",2025,32950,0.0828657725378554,NA
"454","Sejong","55",2025,24579,0.061813590992654,NA
"455","Sejong","60",2025,21369,0.053740779768177,NA
"456","Sejong","65",2025,17753,0.0446469213919438,NA
"457","Sejong","70",2025,11290,0.0283931584811043,NA
"458","Sejong","75",2025,7266,0.0182732231641899,NA
"459","Sejong","80",2025,9800,0.0246459657320481,NA
"460","Gyeonggi","0",2025,373459,0.0267736727475026,"Urban"
"461","Gyeonggi","5",2025,528640,0.0378987636159252,"Urban"
"462","Gyeonggi","10",2025,659319,0.0472672800554029,"Urban"
"463","Gyeonggi","15",2025,642049,0.0460291753950536,"Urban"
"464","Gyeonggi","20",2025,679575,0.0487194542302746,"Urban"
"465","Gyeonggi","25",2025,932875,0.0668788005224845,"Urban"
"466","Gyeonggi","30",2025,1056058,0.0757099207526988,"Urban"
"467","Gyeonggi","35",2025,986164,0.0706991455859095,"Urban"
"468","Gyeonggi","40",2025,1136540,0.0814797608959662,"Urban"
"469","Gyeonggi","45",2025,1116315,0.0800298091440517,"Urban"
"470","Gyeonggi","50",2025,1226954,0.087961636678295,"Urban"
"471","Gyeonggi","55",2025,1161444,0.0832651551322915,"Urban"
"472","Gyeonggi","60",2025,1074916,0.0770618708213072,"Urban"
"473","Gyeonggi","65",2025,886100,0.0635254510443237,"Urban"
"474","Gyeonggi","70",2025,561866,0.0402807708796637,"Urban"
"475","Gyeonggi","75",2025,394760,0.0283007640833509,"Urban"
"476","Gyeonggi","80",2025,531706,0.0381185684154985,"Urban"
"477","Gangwon","0",2025,35344,0.0232957593861267,NA
